formula,synonym,description
NO FORMULA,Silver bromide,"Silver bromide (AgBr) is a soft, pale-yellow, water-insoluble salt well known (along with other silver halides) for its unusual sensitivity to light. This property has allowed silver halides to become the basis of modern photographic materials. AgBr is widely used in photographic films and is believed by some to have been used for making the Shroud of Turin. The salt can be found naturally as the mineral bromargyrite.
"
NO FORMULA,Silver chloride,"Silver chloride is an inorganic chemical compound with the chemical formula AgCl. This white crystalline solid is well known for its low solubility in water and its sensitivity to light. Upon illumination or heating, silver chloride converts to silver (and chlorine), which is signaled by grey to black or purplish coloration in some samples. AgCl occurs naturally as the mineral chlorargyrite.
"
NO FORMULA,Copper(II) oxide,"Copper(II) oxide or cupric oxide is an inorganic compound with the formula CuO.  A black solid, it is one of the two stable oxides of copper, the other being Cu2O or copper(I) oxide (cuprous oxide).  As a mineral, it is known as tenorite.  It is a product of copper mining and the precursor to many other copper-containing products and chemical compounds.
"
NO FORMULA,Cobalt(II) oxide,"Cobalt(II) oxide is an inorganic compound that has been described as an olive-green or gray solid. It is used extensively in the ceramics industry as an additive to create blue-colored glazes and enamels, as well as in the chemical industry for producing cobalt(II) salts. A related material is cobalt(II,III) oxide, a black solid with the formula Co3O4.
"
NO FORMULA,Silver fulminate,"Silver fulminate (AgCNO) is the highly explosive silver salt of fulminic acid.
"
NO FORMULA,Silver hydroxide,"Silver oxide is the chemical compound with the formula Ag2O.  It is a fine black or dark brown powder that is used to prepare other silver compounds.
"
NO FORMULA,Silver iodide,"Silver iodide is an inorganic compound with the formula AgI.  The compound is a bright yellow solid, but samples almost always contain impurities of metallic silver that give a gray coloration.  The silver contamination arises because some samples of AgI can be highly photosensitive.  This property is exploited in silver-based photography.  Silver iodide is also used as an antiseptic and in cloud seeding.
"
NO FORMULA,Strontium oxide,"Strontium oxide or strontia, SrO, is formed when strontium reacts with oxygen. Burning strontium in air results in a mixture of strontium oxide and strontium nitride. It also forms from the decomposition of strontium carbonate SrCO3. It is a strongly basic oxide.
"
(NPCl2)3,Hexachlorophosphazene,"Hexachlorophosphazene is an inorganic compound with the formula (NPCl2)3. The molecule has a cyclic, unsaturated backbone consisting of alternating phosphorus and nitrogen centers, and can be viewed as a trimer of the hypothetical compound N≡PCl2. Its classification as a phosphazene highlights its relationship to benzene. There is large academic interest in the compound relating to the phosphorus-nitrogen bonding and phosphorus reactivity.
"
NaClO2,Sodium chlorite,"Sodium chlorite (NaClO2) is a chemical compound used in the manufacturing of paper and as a disinfectant.
"
NO FORMULA,Sodium chloride,"Sodium chloride /ˌsoʊdiəm ˈklɔːraɪd/, commonly known as table salt, is an ionic compound with the chemical formula NaCl, representing a 1:1 ratio of sodium and chloride ions. Sodium chloride is the salt most responsible for the salinity of seawater and of the extracellular fluid of many multicellular organisms. In its edible form, it is commonly used as a condiment and food preservative. Large quantities of sodium chloride are used in many industrial processes, and it is a major source of sodium and chlorine compounds used as feedstocks for further chemical syntheses. Another major application of sodium chloride is deicing of roadways in sub-freezing weather.
"
NO FORMULA,Potassium thiocyanate,"Potassium thiocyanate is the chemical compound with the molecular formula KSCN.  It is an important salt of the thiocyanate anion, one of the pseudohalides.  The compound has a low melting point relative to most other inorganic salts.
"
NO FORMULA,Potassium iodide,"Potassium iodide is a chemical compound, medication, and dietary supplement. It is a medication used for treating hyperthyroidism, in radiation emergencies, and for protecting the thyroid gland when certain types of radiopharmaceuticals are used. In the third world it is also used for treating skin sporotrichosis and phycomycosis. It is a supplement used by people with low dietary intake of iodine. It is administered orally.
"
NO FORMULA,Potassium chloride,"Potassium chloride (KCl, or potassium salt) is a metal halide salt composed of potassium and chlorine. It is odorless and has a white or colorless vitreous crystal appearance. The solid dissolves readily in water, and its solutions have a salt-like taste. Potassium chloride can be obtained from ancient dried lake deposits. KCl is used as a fertilizer, in medicine, in scientific applications, domestic water softeners (as a substitute for sodium chloride salt), and in food processing, where it may be known as E number additive E508.
"
NO FORMULA,Potassium hydroxide,"Potassium hydroxide is an inorganic compound with the formula KOH, and is commonly called caustic potash.
"
NO FORMULA,Rubidium chloride,"Rubidium chloride is the chemical compound with the formula RbCl. This alkali metal halide salt is composed of rubidium and chlorine, and finds diverse uses ranging from electrochemistry to molecular biology.
"
NO FORMULA,Silver chloride,"Silver chloride is an inorganic chemical compound with the chemical formula AgCl. This white crystalline solid is well known for its low solubility in water and its sensitivity to light. Upon illumination or heating, silver chloride converts to silver (and chlorine), which is signaled by grey to black or purplish coloration in some samples. AgCl occurs naturally as the mineral chlorargyrite.
"
NO FORMULA,Potassium cyanide,"Potassium cyanide is a compound with the formula KCN. It is a colorless salt, similar in appearance to sugar, that is highly soluble in water. Most KCN is used in gold mining, organic synthesis, and electroplating. Smaller applications include jewellery for chemical gilding and buffing. Potassium cyanide is highly toxic, and a dose of 200 to 300 milligrams will kill nearly any human.
"
NaClO3,Sodium chlorate,"Sodium chlorate is an inorganic compound with the chemical formula NaClO3. It is a white crystalline powder that is readily soluble in water. It is hygroscopic. It decomposes above 300 °C to release oxygen and leaves sodium chloride. Several hundred million tons are produced annually, mainly for applications in bleaching pulp to produce high brightness paper.
"
NO FORMULA,Carbon monoxide,"Carbon monoxide (chemical formula CO) is a poisonous, flammable gas that is colorless, odorless, tasteless, and slightly less dense than air. Carbon monoxide consists of one carbon atom and one oxygen atom connected by a triple bond. It is the simplest carbon oxide. In coordination complexes, the carbon monoxide ligand is called carbonyl.  It is a key ingredient in many processes in industrial chemistry.
"
NO FORMULA,Potassium chloride,"Potassium chloride (KCl, or potassium salt) is a metal halide salt composed of potassium and chlorine. It is odorless and has a white or colorless vitreous crystal appearance. The solid dissolves readily in water, and its solutions have a salt-like taste. Potassium chloride can be obtained from ancient dried lake deposits. KCl is used as a fertilizer, in medicine, in scientific applications, domestic water softeners (as a substitute for sodium chloride salt), and in food processing, where it may be known as E number additive E508.
"
NO FORMULA,Rubidium bromide,"Rubidium bromide is an inorganic compound with the chemical formula RbBr. It is a salt of hydrogen bromide. It consists of bromide anions Br− and rubidium cations Rb+. It has a NaCl crystal structure, with a lattice constant of 685 picometres.
"
NO FORMULA,Polonium monoxide,"Polonium monoxide (also known as polonium(II) oxide) is a chemical compound with the formula PoO. It is one of three oxides of polonium, the other two being polonium dioxide (PoO2) and polonium trioxide (PoO3). It is an interchalcogen.
"
(NPCl2)n,Poly(dichlorophosphazene),"Poly(dichlorophosphazene), also called dichlorophosphazine polymer or phosphonitrilechloride polymer, is a chemical compound with formula (PNCl2)n.  It is an inorganic (hence carbon-free)  chloropolymer, whose backbone is a chain of alternating phosphorus and nitrogen atoms, connected by alternating single and double covalent bonds.
"
NO FORMULA,Rubidium chloride,"Rubidium chloride is the chemical compound with the formula RbCl. This alkali metal halide salt is composed of rubidium and chlorine, and finds diverse uses ranging from electrochemistry to molecular biology.
"
NO FORMULA,Phosphoryl nitride,"Phosphoryl nitride in chemistry is a reactive intermediate with the structure OPN. It is a linear oxygen phosphorus nitrogen molecule with a formal double bond between P and O (phosphoryl) and a triple bond (nitride) between P and N. It can be obtained in argon matrix isolation at 16 K by laser photolysis of phosphoryl triazide, OP(N3)3. OPN and its isomer ONP can interconvert by photoisomerization. Both are valence isoelectronic to N2O.
"
NO FORMULA,Rubidium fluoride,"Rubidium fluoride (RbF) is the fluoride salt of rubidium. It is a cubic crystal with rock-salt structure.
"
NO FORMULA,Rubidium hydroxide,"Rubidium hydroxide  is the inorganic compound with the formula RbOH. It consists of rubidium cations and an equal number of hydroxide anions. It is a colorless solid that is commercially available as aqueous solutions from a few suppliers. Like other strong bases, rubidium hydroxide is highly caustic. Rubidium hydroxide is formed when rubidium metal reacts with water.
"
